Time,B1,B2,B3,T1,T2,T3
22/07/2022 09:40:00,17,0,0,3,3,0
22/07/2022 09:45:00,20,0,0,5,2,0
22/07/2022 09:50:00,20,0,0,0,6,0
22/07/2022 09:55:00,25,0,0,0,2,2
22/07/2022 10:00:00,18,0,0,1,2,2
22/07/2022 10:05:00,18,0,0,3,4,0
22/07/2022 10:10:00,13,0,0,4,3,2
22/07/2022 10:15:00,21,0,0,1,5,1
22/07/2022 10:20:00,14,0,0,2,3,1
22/07/2022 10:25:00,22,0,0,1,3,0
22/07/2022 10:30:00,10,0,0,4,4,1
22/07/2022 10:35:00,16,0,0,3,3,2
22/07/2022 10:40:00,14,0,0,2,1,1
22/07/2022 10:45:00,7,0,0,0,0,0
22/07/2022 10:50:00,4,0,0,2,2,0
22/07/2022 10:55:00,17,0,0,2,4,1
22/07/2022 11:00:00,15,0,0,3,3,2
22/07/2022 11:05:00,17,1,0,1,2,2
22/07/2022 11:10:00,16,1,0,4,2,1
22/07/2022 11:15:00,16,0,0,0,3,1
22/07/2022 11:20:00,11,0,0,4,0,0
22/07/2022 11:25:00,22,0,0,2,4,0
22/07/2022 11:30:00,17,1,0,4,3,0
22/07/2022 11:35:00,14,0,0,1,1,0
22/07/2022 11:40:00,14,0,0,4,3,0
22/07/2022 11:45:00,19,0,0,1,5,0
22/07/2022 11:50:00,12,0,0,2,3,1
22/07/2022 11:55:00,14,0,1,6,2,3
22/07/2022 12:00:00,23,0,0,3,3,5
22/07/2022 12:05:00,16,0,0,5,3,2
22/07/2022 12:10:00,26,0,0,2,3,0
22/07/2022 12:15:00,25,0,0,0,8,3
22/07/2022 12:20:00,21,0,0,3,3,0
22/07/2022 12:25:00,19,0,0,2,3,2
22/07/2022 12:30:00,18,0,0,1,5,2
22/07/2022 12:35:00,28,0,0,2,3,0
22/07/2022 12:40:00,19,0,0,1,3,0
22/07/2022 12:45:00,23,0,0,6,6,1
22/07/2022 12:50:00,23,0,0,5,8,0
22/07/2022 12:55:00,13,0,0,3,2,0
22/07/2022 13:00:00,28,0,0,0,7,3
22/07/2022 13:05:00,29,1,0,3,5,0
22/07/2022 13:10:00,21,0,0,0,4,0
22/07/2022 13:15:00,11,0,0,0,1,0
22/07/2022 13:20:00,30,0,0,1,1,0
22/07/2022 13:25:00,19,0,0,5,3,2
22/07/2022 13:30:00,26,0,0,1,2,2
22/07/2022 13:35:00,24,0,0,2,6,2
22/07/2022 13:40:00,32,0,0,4,9,1
22/07/2022 13:45:00,28,1,0,1,9,0
22/07/2022 13:50:00,20,1,0,1,5,0
22/07/2022 13:55:00,29,0,0,5,2,0
22/07/2022 14:00:00,22,0,0,8,3,0
22/07/2022 14:05:00,30,0,0,2,3,1
22/07/2022 14:10:00,32,0,0,2,1,2
22/07/2022 14:15:00,22,0,0,1,4,1
22/07/2022 14:20:00,33,0,1,2,6,1
22/07/2022 14:25:00,34,0,1,3,4,1
22/07/2022 14:30:00,32,0,0,0,2,1
22/07/2022 14:35:00,25,0,0,8,3,0
22/07/2022 14:40:00,53,1,1,2,3,0
22/07/2022 14:45:00,44,0,1,4,10,1
22/07/2022 14:50:00,38,0,2,1,2,0
22/07/2022 14:55:00,42,0,2,4,2,0
22/07/2022 15:00:00,32,0,0,6,2,0
22/07/2022 15:05:00,31,0,0,3,0,0
22/07/2022 15:10:00,42,0,0,4,4,1
22/07/2022 15:15:00,50,0,0,5,4,1
22/07/2022 15:20:00,58,0,0,3,0,0
22/07/2022 15:25:00,56,0,0,4,4,1
22/07/2022 15:30:00,40,0,0,1,3,0
22/07/2022 15:35:00,47,0,0,3,3,1
22/07/2022 15:40:00,60,0,0,6,3,1
22/07/2022 15:45:00,51,0,2,8,5,1
22/07/2022 15:50:00,60,0,0,4,5,5
22/07/2022 15:55:00,63,1,0,4,4,1
22/07/2022 16:00:00,49,0,0,8,5,0
22/07/2022 16:05:00,79,0,0,5,8,0
22/07/2022 16:10:00,53,0,0,0,2,1
22/07/2022 16:15:00,62,0,0,0,8,2
22/07/2022 16:20:00,73,0,0,6,1,3
22/07/2022 16:25:00,104,0,1,6,1,0
22/07/2022 16:30:00,61,0,1,2,9,0
22/07/2022 16:35:00,96,0,1,5,7,1
22/07/2022 16:40:00,70,1,0,3,7,1
22/07/2022 16:45:00,94,0,1,2,6,1
22/07/2022 16:50:00,33,1,0,1,0,0
22/07/2022 16:55:00,18,0,0,2,1,0
22/07/2022 17:00:00,12,0,0,0,0,1
22/07/2022 17:05:00,67,0,0,1,3,1
22/07/2022 17:10:00,92,0,0,8,4,3
22/07/2022 17:15:00,78,0,0,7,3,0
22/07/2022 17:20:00,59,0,0,5,4,2
22/07/2022 17:25:00,85,0,1,7,2,3
22/07/2022 17:30:00,69,0,6,3,6,1
22/07/2022 17:35:00,54,0,2,4,2,5
22/07/2022 17:40:00,50,1,0,1,3,0
22/07/2022 17:45:00,65,0,2,4,3,1
22/07/2022 17:50:00,55,0,0,1,4,1
22/07/2022 17:55:00,36,0,0,0,1,0
22/07/2022 18:00:00,57,0,0,2,3,1
22/07/2022 18:05:00,40,0,0,5,2,2
22/07/2022 18:10:00,57,0,1,1,5,1
22/07/2022 18:15:00,34,0,0,1,1,0
22/07/2022 18:20:00,51,0,0,1,6,2
22/07/2022 18:25:00,46,1,0,3,3,1
22/07/2022 18:30:00,55,0,0,3,0,2
22/07/2022 18:35:00,46,0,0,5,1,2
22/07/2022 18:40:00,37,0,0,3,1,1
22/07/2022 18:45:00,48,0,0,4,6,4
22/07/2022 18:50:00,53,0,0,2,5,2
22/07/2022 18:55:00,59,0,0,3,4,2
22/07/2022 19:00:00,34,0,0,4,1,0
22/07/2022 19:05:00,36,0,0,4,5,3
22/07/2022 19:10:00,48,0,0,1,2,2
22/07/2022 19:15:00,34,0,0,0,5,1
22/07/2022 19:20:00,41,0,0,5,2,3
22/07/2022 19:25:00,40,0,3,4,4,0
22/07/2022 19:30:00,29,0,2,6,1,1
22/07/2022 19:35:00,30,0,0,6,1,0
22/07/2022 19:40:00,27,0,0,5,4,0
22/07/2022 19:45:00,23,0,0,1,6,0
22/07/2022 19:50:00,25,0,0,1,6,0
22/07/2022 19:55:00,18,0,1,4,7,0
22/07/2022 20:00:00,8,0,0,1,0,0
22/07/2022 20:05:00,6,0,0,0,0,0
22/07/2022 20:10:00,3,0,0,0,0,0
22/07/2022 20:15:00,14,0,0,0,2,0
22/07/2022 20:20:00,8,0,0,0,2,1
22/07/2022 20:25:00,2,0,0,1,2,0
22/07/2022 20:30:00,8,0,0,0,2,0
22/07/2022 20:35:00,12,0,0,3,5,1
22/07/2022 20:40:00,9,0,0,1,0,0
22/07/2022 20:45:00,8,0,0,1,0,0
22/07/2022 20:50:00,8,0,0,1,0,0
22/07/2022 20:55:00,7,0,0,1,0,0
22/07/2022 21:00:00,6,0,0,1,0,0
22/07/2022 21:05:00,6,0,0,1,0,0
22/07/2022 21:10:00,5,0,0,1,0,0
22/07/2022 21:15:00,5,0,0,1,0,0
22/07/2022 21:20:00,4,0,0,1,0,0
22/07/2022 21:25:00,3,0,0,1,0,0
22/07/2022 21:30:00,3,0,0,1,0,0
22/07/2022 21:35:00,2,0,0,1,0,0
22/07/2022 21:40:00,2,0,0,1,0,0
22/07/2022 21:45:00,2,0,0,1,0,0
22/07/2022 21:50:00,2,0,0,1,0,0
22/07/2022 21:55:00,2,0,0,1,0,0
22/07/2022 22:00:00,2,0,0,1,0,0
22/07/2022 22:05:00,2,0,0,1,0,0
22/07/2022 22:10:00,2,0,0,1,0,0
22/07/2022 22:15:00,2,0,0,1,0,0
22/07/2022 22:20:00,3,0,0,0,0,0
22/07/2022 22:25:00,3,0,0,0,0,0
22/07/2022 22:30:00,3,0,0,0,0,0
22/07/2022 22:35:00,3,0,0,0,0,0
22/07/2022 22:40:00,3,0,0,0,0,0
22/07/2022 22:45:00,3,0,0,0,0,0
22/07/2022 22:50:00,3,0,0,0,0,0
22/07/2022 22:55:00,3,0,0,0,0,0
22/07/2022 23:00:00,3,0,0,0,0,0
22/07/2022 23:05:00,3,0,0,0,0,0
22/07/2022 23:10:00,3,0,0,0,0,0
22/07/2022 23:15:00,3,0,0,0,0,0
22/07/2022 23:20:00,3,0,0,0,0,0
22/07/2022 23:25:00,3,0,0,0,0,0
22/07/2022 23:30:00,2,0,0,0,0,0
22/07/2022 23:35:00,2,0,0,0,0,0
22/07/2022 23:40:00,2,0,0,0,0,0
22/07/2022 23:45:00,2,0,0,0,0,0
22/07/2022 23:50:00,2,0,0,0,0,0
22/07/2022 23:55:00,2,0,0,0,0,0
23/07/2022 00:00:00,0,0,0,0,1,0
23/07/2022 00:05:00,0,0,0,0,1,0
23/07/2022 00:10:00,0,0,0,0,1,0
23/07/2022 00:15:00,1,0,0,0,0,0
23/07/2022 00:20:00,1,0,0,0,0,0
23/07/2022 00:25:00,1,0,0,0,0,0
23/07/2022 00:30:00,2,0,0,0,0,0
23/07/2022 00:35:00,2,0,0,0,0,0
23/07/2022 00:40:00,2,0,0,0,0,0
23/07/2022 00:45:00,2,0,0,0,0,0
23/07/2022 00:50:00,2,0,0,0,0,0
23/07/2022 00:55:00,1,0,0,0,0,0
23/07/2022 01:00:00,0,0,0,0,1,0
23/07/2022 01:05:00,0,0,0,0,1,0
23/07/2022 01:10:00,0,0,0,1,0,0
23/07/2022 01:15:00,0,0,0,1,1,0
23/07/2022 01:20:00,0,0,0,0,2,0
23/07/2022 01:25:00,0,0,0,0,3,0
23/07/2022 01:30:00,0,0,0,0,2,0
23/07/2022 01:35:00,1,0,0,1,1,0
23/07/2022 01:40:00,1,0,0,1,1,0
23/07/2022 01:45:00,1,0,0,0,0,0
23/07/2022 01:50:00,1,0,0,0,0,0
23/07/2022 01:55:00,1,0,0,0,0,0
23/07/2022 02:00:00,0,0,0,0,1,0
23/07/2022 02:05:00,1,0,0,0,0,0
23/07/2022 02:10:00,0,0,0,0,0,0
23/07/2022 02:15:00,0,0,0,1,0,0
23/07/2022 02:20:00,0,0,0,1,0,0
23/07/2022 02:25:00,0,0,0,1,0,0
23/07/2022 02:30:00,0,0,0,0,0,0
23/07/2022 02:35:00,1,0,0,0,0,0
23/07/2022 02:40:00,1,0,0,0,0,0
23/07/2022 02:45:00,1,0,0,0,0,0
23/07/2022 02:50:00,1,0,0,0,1,0
23/07/2022 02:55:00,0,0,0,0,4,2
23/07/2022 03:00:00,1,0,0,0,1,0
23/07/2022 03:05:00,1,0,0,1,1,0
23/07/2022 03:10:00,2,0,0,1,1,0
23/07/2022 03:15:00,1,0,0,1,2,0
23/07/2022 03:20:00,1,0,0,0,1,1
23/07/2022 03:25:00,0,0,0,1,0,0
23/07/2022 03:30:00,1,0,0,2,2,0
23/07/2022 03:35:00,0,0,0,0,2,0
23/07/2022 03:40:00,1,0,0,0,1,0
23/07/2022 03:45:00,1,0,0,0,4,1
23/07/2022 03:50:00,0,0,0,1,0,0
23/07/2022 03:55:00,1,0,0,0,3,1
23/07/2022 04:00:00,1,0,0,0,0,0
23/07/2022 04:05:00,1,0,0,2,2,0
23/07/2022 04:10:00,1,0,0,4,2,1
23/07/2022 04:15:00,2,0,0,1,1,0
23/07/2022 04:20:00,2,0,0,0,2,0
23/07/2022 04:25:00,2,0,0,0,1,0
23/07/2022 04:30:00,2,0,0,0,2,0
23/07/2022 04:35:00,0,0,0,0,0,1
23/07/2022 04:40:00,4,0,0,0,2,0
23/07/2022 04:45:00,1,0,0,1,2,0
23/07/2022 04:50:00,0,0,0,0,3,1
23/07/2022 04:55:00,0,0,0,0,2,0
23/07/2022 05:00:00,1,0,0,0,0,0
23/07/2022 05:05:00,0,0,0,1,3,0
23/07/2022 05:10:00,1,0,0,0,3,1
23/07/2022 05:15:00,1,0,0,0,0,0
23/07/2022 05:20:00,4,0,0,1,2,0
23/07/2022 05:25:00,2,0,2,0,1,0
23/07/2022 05:30:00,2,0,0,2,2,0
23/07/2022 05:35:00,2,0,0,2,1,0
23/07/2022 05:40:00,0,0,0,0,2,1
23/07/2022 05:45:00,0,0,0,1,3,0
23/07/2022 05:50:00,2,0,0,1,0,2
23/07/2022 05:55:00,4,0,0,1,2,0
23/07/2022 06:00:00,5,0,0,2,3,0
23/07/2022 06:05:00,7,0,0,0,4,1
23/07/2022 06:10:00,2,0,0,2,1,0
23/07/2022 06:15:00,0,0,0,1,3,1
23/07/2022 06:20:00,3,0,0,1,3,0
23/07/2022 06:25:00,5,0,0,2,0,0
23/07/2022 06:30:00,0,0,0,4,1,1
23/07/2022 06:35:00,3,0,0,0,0,0
23/07/2022 06:40:00,3,0,0,4,1,0
23/07/2022 06:45:00,6,0,0,2,3,1
23/07/2022 06:50:00,6,0,0,3,2,1
23/07/2022 06:55:00,6,0,0,2,5,1
23/07/2022 07:00:00,4,0,1,1,0,1
23/07/2022 07:05:00,7,0,0,0,4,1
23/07/2022 07:10:00,4,0,0,1,2,2
23/07/2022 07:15:00,9,0,0,1,1,1
23/07/2022 07:20:00,6,0,0,0,6,1
23/07/2022 07:25:00,6,0,0,0,3,0
23/07/2022 07:30:00,10,0,0,0,1,1
23/07/2022 07:35:00,11,0,0,1,5,0
23/07/2022 07:40:00,9,0,0,1,3,1
23/07/2022 07:45:00,9,0,0,1,2,0
23/07/2022 07:50:00,6,0,0,2,0,0
23/07/2022 07:55:00,11,0,1,1,4,1
23/07/2022 08:00:00,9,0,0,2,7,0
23/07/2022 08:05:00,12,0,0,2,3,1
23/07/2022 08:10:00,13,1,0,3,1,0
23/07/2022 08:15:00,17,0,0,2,2,0
23/07/2022 08:20:00,13,0,0,2,2,0
23/07/2022 08:25:00,14,0,1,0,2,1
23/07/2022 08:30:00,11,0,1,1,4,2
23/07/2022 08:35:00,13,0,0,2,3,3
23/07/2022 08:40:00,12,2,0,0,5,1
23/07/2022 08:45:00,21,0,0,2,2,0
23/07/2022 08:50:00,12,0,0,1,2,3
23/07/2022 08:55:00,15,0,0,1,5,0
23/07/2022 09:00:00,11,0,0,2,2,0
23/07/2022 09:05:00,15,0,0,5,3,0
23/07/2022 09:10:00,26,0,0,2,4,0
23/07/2022 09:15:00,15,0,0,2,3,1
23/07/2022 09:20:00,18,0,0,1,3,1
23/07/2022 09:25:00,22,0,0,3,5,0
23/07/2022 09:30:00,14,0,0,5,5,0
23/07/2022 09:35:00,19,0,0,3,2,0
23/07/2022 09:40:00,12,0,0,1,4,0
23/07/2022 09:45:00,26,0,0,4,3,0
23/07/2022 09:50:00,27,0,0,1,5,2
23/07/2022 09:55:00,29,0,0,1,5,0
23/07/2022 10:00:00,15,0,0,1,3,0
23/07/2022 10:05:00,26,0,0,4,2,0
23/07/2022 10:10:00,19,0,0,2,3,3
23/07/2022 10:15:00,18,0,0,2,4,0
23/07/2022 10:20:00,23,0,0,1,1,2
23/07/2022 10:25:00,18,0,0,2,2,0
23/07/2022 10:30:00,19,0,0,3,4,0
23/07/2022 10:35:00,30,0,0,1,5,2
23/07/2022 10:40:00,29,0,0,3,9,0
23/07/2022 10:45:00,22,0,0,2,0,0
23/07/2022 10:50:00,27,0,0,2,2,0
23/07/2022 10:55:00,26,0,0,0,2,2
23/07/2022 11:00:00,14,0,0,3,4,0
23/07/2022 11:05:00,20,0,1,2,3,0
23/07/2022 11:10:00,17,0,1,2,1,0
23/07/2022 11:15:00,22,0,0,2,4,2
23/07/2022 11:20:00,20,0,0,1,5,2
23/07/2022 11:25:00,13,0,0,1,3,0
23/07/2022 11:30:00,20,0,0,4,3,0
23/07/2022 11:35:00,30,0,0,1,1,0
23/07/2022 11:40:00,17,0,0,2,1,3
23/07/2022 11:45:00,19,2,0,1,1,1
23/07/2022 11:50:00,19,0,0,4,5,2
23/07/2022 11:55:00,13,0,0,4,2,2
23/07/2022 12:00:00,14,0,0,4,5,1
23/07/2022 12:05:00,23,0,0,3,11,1
23/07/2022 12:10:00,22,0,0,6,4,1
23/07/2022 12:15:00,11,0,0,1,3,0
23/07/2022 12:20:00,23,0,0,2,2,1
23/07/2022 12:25:00,19,0,0,2,2,1
23/07/2022 12:30:00,18,0,1,3,1,0
23/07/2022 12:35:00,21,0,0,1,3,2
23/07/2022 12:40:00,15,0,0,1,5,0
23/07/2022 12:45:00,30,0,0,0,2,0
23/07/2022 12:50:00,20,0,0,2,4,0
23/07/2022 12:55:00,26,0,0,3,2,1
23/07/2022 13:00:00,24,0,0,3,3,1
23/07/2022 13:05:00,23,0,0,0,1,0
23/07/2022 13:10:00,24,0,0,2,2,0
23/07/2022 13:15:00,22,0,0,1,3,0
23/07/2022 13:20:00,26,0,0,1,5,0
23/07/2022 13:25:00,24,0,0,2,0,0
23/07/2022 13:30:00,28,0,1,3,2,1
23/07/2022 13:35:00,32,0,1,1,5,1
23/07/2022 13:40:00,16,0,0,2,3,0
23/07/2022 13:45:00,26,0,0,1,4,4
23/07/2022 13:50:00,20,0,0,2,4,1
23/07/2022 13:55:00,17,0,0,2,4,2
23/07/2022 14:00:00,36,0,0,3,3,1
23/07/2022 14:05:00,32,1,0,5,5,0
23/07/2022 14:10:00,33,0,0,3,2,1
23/07/2022 14:15:00,27,0,0,2,5,0
23/07/2022 14:20:00,36,0,1,0,3,1
23/07/2022 14:25:00,28,0,0,0,4,1
23/07/2022 14:30:00,28,0,1,2,4,1
23/07/2022 14:35:00,19,0,0,1,3,3
23/07/2022 14:40:00,32,0,0,2,4,0
23/07/2022 14:45:00,36,0,0,2,2,0
23/07/2022 14:50:00,25,0,0,0,2,0
23/07/2022 14:55:00,37,0,0,3,6,0
23/07/2022 15:00:00,18,0,0,2,1,2
23/07/2022 15:05:00,41,0,0,1,4,2
23/07/2022 15:10:00,34,0,0,2,2,2
23/07/2022 15:15:00,23,0,0,1,1,0
23/07/2022 15:20:00,45,0,1,0,3,1
23/07/2022 15:25:00,23,0,0,0,4,1
23/07/2022 15:30:00,53,0,0,1,0,1
23/07/2022 15:35:00,30,0,0,3,2,1
23/07/2022 15:40:00,33,0,0,6,2,0
23/07/2022 15:45:00,37,0,0,1,3,0
23/07/2022 15:50:00,35,0,0,1,1,1
23/07/2022 15:55:00,33,0,0,2,5,0
23/07/2022 16:00:00,35,0,0,5,3,1
23/07/2022 16:05:00,49,0,0,2,5,1
23/07/2022 16:10:00,46,0,1,3,4,1
23/07/2022 16:15:00,37,0,2,3,1,1
23/07/2022 16:20:00,46,0,0,0,9,0
23/07/2022 16:25:00,55,0,0,0,3,0
23/07/2022 16:30:00,43,0,1,4,6,1
23/07/2022 16:35:00,44,0,0,4,1,0
23/07/2022 16:40:00,35,0,1,6,9,1
23/07/2022 16:45:00,29,0,0,1,1,1
23/07/2022 16:50:00,17,0,0,3,4,1
23/07/2022 16:55:00,47,0,0,2,11,2
23/07/2022 17:00:00,40,0,1,0,6,1
23/07/2022 17:05:00,30,0,0,0,1,2
23/07/2022 17:10:00,39,0,0,3,4,3
23/07/2022 17:15:00,31,0,1,4,2,0
23/07/2022 17:20:00,23,1,0,4,4,0
23/07/2022 17:25:00,20,0,0,0,3,0
23/07/2022 17:30:00,39,0,0,3,4,3
23/07/2022 17:35:00,31,0,0,2,4,2
23/07/2022 17:40:00,34,0,0,2,1,1
23/07/2022 17:45:00,32,0,1,4,0,1
23/07/2022 17:50:00,30,0,0,2,2,0
23/07/2022 17:55:00,22,0,0,1,3,0
23/07/2022 18:00:00,32,0,1,0,3,1
23/07/2022 18:05:00,26,0,0,2,1,1
23/07/2022 18:10:00,26,0,0,4,3,0
23/07/2022 18:15:00,27,0,0,1,4,1
23/07/2022 18:20:00,24,0,0,1,3,0
23/07/2022 18:25:00,31,1,0,0,5,1
23/07/2022 18:30:00,21,0,0,5,0,2
23/07/2022 18:35:00,15,0,0,2,2,2
23/07/2022 18:40:00,15,0,0,0,5,2
23/07/2022 18:45:00,28,0,0,1,1,1
23/07/2022 18:50:00,22,0,0,4,2,1
23/07/2022 18:55:00,21,0,0,2,0,0
23/07/2022 19:00:00,16,0,0,1,3,0
23/07/2022 19:05:00,14,1,0,5,0,0
23/07/2022 19:10:00,16,0,0,3,6,0
23/07/2022 19:15:00,15,0,0,0,3,0
23/07/2022 19:20:00,13,0,0,1,1,0
23/07/2022 19:25:00,14,0,0,0,2,1
23/07/2022 19:30:00,15,0,0,2,5,1
23/07/2022 19:35:00,16,1,0,1,3,0
23/07/2022 19:40:00,9,0,0,4,3,1
23/07/2022 19:45:00,15,0,0,4,2,0
23/07/2022 19:50:00,13,0,0,0,5,0
23/07/2022 19:55:00,16,0,0,1,2,4
23/07/2022 20:00:00,16,0,0,3,3,0
23/07/2022 20:05:00,12,0,0,4,3,1
23/07/2022 20:10:00,18,0,0,5,1,1
23/07/2022 20:15:00,18,0,0,2,2,2
23/07/2022 20:20:00,11,0,0,0,1,1
23/07/2022 20:25:00,13,0,0,3,3,0
23/07/2022 20:30:00,12,0,0,0,1,0
23/07/2022 20:35:00,18,0,0,2,1,0
23/07/2022 20:40:00,12,0,0,0,3,0
23/07/2022 20:45:00,11,0,0,1,2,0
23/07/2022 20:50:00,5,0,0,1,0,0
23/07/2022 20:55:00,11,0,0,1,1,0
23/07/2022 21:00:00,11,0,0,1,1,0
23/07/2022 21:05:00,8,1,0,1,1,0
23/07/2022 21:10:00,15,0,0,0,2,0
23/07/2022 21:15:00,18,0,0,3,0,1
23/07/2022 21:20:00,9,0,0,1,0,0
23/07/2022 21:25:00,7,0,0,0,1,0
23/07/2022 21:30:00,6,0,0,0,1,0
23/07/2022 21:35:00,6,0,0,0,1,0
23/07/2022 21:40:00,5,0,0,0,1,0
23/07/2022 21:45:00,5,0,0,0,1,0
23/07/2022 21:50:00,4,0,0,0,1,0
23/07/2022 21:55:00,3,0,0,0,1,0
23/07/2022 22:00:00,3,0,0,0,1,0
23/07/2022 22:05:00,2,0,0,0,1,0
23/07/2022 22:10:00,2,0,0,0,1,0
23/07/2022 22:15:00,1,0,0,0,1,0
23/07/2022 22:20:00,1,0,0,0,1,0
23/07/2022 22:25:00,1,0,0,0,1,0
23/07/2022 22:30:00,1,0,0,0,1,0
23/07/2022 22:35:00,1,0,0,0,1,0
23/07/2022 22:40:00,1,0,0,0,1,0
23/07/2022 22:45:00,1,0,0,0,0,0
23/07/2022 22:50:00,1,0,0,0,0,0
23/07/2022 22:55:00,1,0,0,0,0,0
23/07/2022 23:00:00,1,0,0,0,0,0
23/07/2022 23:05:00,1,0,0,0,0,0
23/07/2022 23:10:00,1,0,0,0,0,0
23/07/2022 23:15:00,1,0,0,0,0,0
23/07/2022 23:20:00,1,0,0,0,0,0
23/07/2022 23:25:00,1,0,0,0,0,0
23/07/2022 23:30:00,1,0,0,0,0,0
23/07/2022 23:35:00,1,0,0,0,0,0
23/07/2022 23:40:00,1,0,0,0,1,0
23/07/2022 23:45:00,1,0,0,0,1,0
23/07/2022 23:50:00,1,0,0,0,1,0
23/07/2022 23:55:00,1,0,0,0,1,0
24/07/2022 00:00:00,1,0,0,0,1,0
24/07/2022 00:05:00,1,0,0,0,1,0
24/07/2022 00:10:00,1,0,0,0,2,0
24/07/2022 00:15:00,1,0,0,0,0,0
24/07/2022 00:20:00,1,0,0,0,0,0
24/07/2022 00:25:00,0,0,0,1,0,0
24/07/2022 00:30:00,0,0,0,1,0,0
24/07/2022 00:35:00,0,0,0,1,0,0
24/07/2022 00:40:00,0,0,0,1,0,0
24/07/2022 00:45:00,0,0,0,0,0,0
24/07/2022 00:50:00,1,0,0,0,1,0
24/07/2022 00:55:00,1,0,0,0,1,0
24/07/2022 01:00:00,1,0,0,0,1,0
24/07/2022 01:05:00,1,0,0,0,1,0
24/07/2022 01:10:00,0,0,0,0,1,1
24/07/2022 01:15:00,0,0,0,0,1,1
24/07/2022 01:20:00,0,0,0,0,1,1
24/07/2022 01:25:00,0,0,0,0,1,1
24/07/2022 01:30:00,0,0,0,0,2,0
24/07/2022 01:35:00,0,0,0,0,2,0
24/07/2022 01:40:00,0,0,0,0,2,0
24/07/2022 01:45:00,0,0,0,0,2,0
24/07/2022 01:50:00,1,0,0,0,2,0
24/07/2022 01:55:00,1,0,0,0,2,0
24/07/2022 02:00:00,0,0,0,0,2,0
24/07/2022 02:05:00,0,0,0,0,2,0
24/07/2022 02:10:00,0,0,0,0,2,1
24/07/2022 02:15:00,0,0,0,0,2,0
24/07/2022 02:20:00,0,0,0,0,2,0
24/07/2022 02:25:00,0,0,0,0,2,0
24/07/2022 02:30:00,0,0,0,0,1,0
24/07/2022 02:35:00,0,0,0,0,1,0
24/07/2022 02:40:00,0,0,0,0,1,0
24/07/2022 02:45:00,0,0,0,1,1,0
24/07/2022 02:50:00,0,0,0,1,1,0
24/07/2022 02:55:00,0,0,0,1,1,0
24/07/2022 03:00:00,0,0,0,1,1,0
24/07/2022 03:05:00,0,0,0,1,1,0
24/07/2022 03:10:00,0,0,0,1,1,0
24/07/2022 03:15:00,1,0,0,0,1,0
24/07/2022 03:20:00,0,0,0,0,1,0
24/07/2022 03:25:00,1,0,0,0,0,0
24/07/2022 03:30:00,1,0,0,0,0,0
24/07/2022 03:35:00,1,0,0,0,0,0
24/07/2022 03:40:00,1,0,0,0,0,0
24/07/2022 03:45:00,2,0,0,1,2,0
24/07/2022 03:50:00,0,0,0,0,3,0
24/07/2022 03:55:00,0,0,0,1,0,0
24/07/2022 04:00:00,3,0,0,0,3,0
24/07/2022 04:05:00,0,0,0,0,2,0
24/07/2022 04:10:00,1,0,0,0,1,0
24/07/2022 04:15:00,0,0,0,0,1,0
24/07/2022 04:20:00,0,0,0,0,1,0
24/07/2022 04:25:00,0,0,0,0,3,1
24/07/2022 04:30:00,1,0,0,0,0,0
24/07/2022 04:35:00,2,0,0,0,0,0
24/07/2022 04:40:00,1,0,0,1,1,0
24/07/2022 04:45:00,2,0,0,0,0,0
24/07/2022 04:50:00,0,0,0,0,2,0
24/07/2022 04:55:00,0,0,0,0,1,1
24/07/2022 05:00:00,0,0,0,2,0,0
24/07/2022 05:05:00,1,0,0,0,1,0
24/07/2022 05:10:00,1,0,0,2,2,2
24/07/2022 05:15:00,3,0,0,1,0,0
24/07/2022 05:20:00,1,0,0,0,3,2
24/07/2022 05:25:00,1,0,0,0,4,1
24/07/2022 05:30:00,4,0,0,1,2,0
24/07/2022 05:35:00,1,0,0,1,2,0
24/07/2022 05:40:00,2,0,0,1,3,1
24/07/2022 05:45:00,5,0,0,0,3,0
24/07/2022 05:50:00,0,0,0,0,2,0
24/07/2022 05:55:00,0,0,0,1,2,1
24/07/2022 06:00:00,4,0,0,0,1,1
24/07/2022 06:05:00,3,0,0,0,0,0
24/07/2022 06:10:00,3,0,0,2,1,0
24/07/2022 06:15:00,4,0,0,0,2,0
24/07/2022 06:20:00,4,0,0,3,1,0
24/07/2022 06:25:00,4,0,0,2,2,0
24/07/2022 06:30:00,4,0,0,1,4,0
24/07/2022 06:35:00,2,0,0,0,2,3
24/07/2022 06:40:00,1,0,0,0,0,0
24/07/2022 06:45:00,2,0,0,2,0,1
24/07/2022 06:50:00,3,0,0,1,4,0
24/07/2022 06:55:00,2,0,0,3,7,0
24/07/2022 07:00:00,7,0,0,1,1,0
24/07/2022 07:05:00,7,0,0,1,0,1
24/07/2022 07:10:00,10,0,0,0,3,0
24/07/2022 07:15:00,5,0,0,1,5,0
24/07/2022 07:20:00,7,0,0,1,2,1
24/07/2022 07:25:00,4,0,0,0,3,2
24/07/2022 07:30:00,9,0,0,0,1,0
24/07/2022 07:35:00,4,0,0,0,0,2
24/07/2022 07:40:00,8,0,0,1,0,2
24/07/2022 07:45:00,4,0,0,2,5,0
24/07/2022 07:50:00,6,0,0,1,0,0
24/07/2022 07:55:00,9,0,0,0,1,1
24/07/2022 08:00:00,7,0,1,1,3,0
24/07/2022 08:05:00,8,0,0,3,2,0
24/07/2022 08:10:00,7,0,0,3,0,0
